trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.45799999999999996, 'e': 0.11598222130000553}",20,14,10.080374799190935,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.45699999999999996, 'e': 0.11018311023500525}",30,17,10.490719714635105,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.45599999999999996, 'e': 0.10467395472325498}",20,4,-18.130177707976614,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.45499999999999996, 'e': 0.09944025698709223}",25,0,31.302859433465066,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.45399999999999996, 'e': 0.09446824413773762}",35,3,47.256265701116774,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.45299999999999996, 'e': 0.08974483193085074}",25,11,23.35728589716163,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.45199999999999996, 'e': 0.0852575903343082}",20,11,14.383047373317241,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.45099999999999996, 'e': 0.08099471081759278}",20,10,6.866377619531802,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.44999999999999996, 'e': 0.07694497527671314}",30,16,15.192480571392224,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.44899999999999995, 'e': 0.07309772651287748}",25,16,20.271125650879338,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.44799999999999995, 'e': 0.0694428401872336}",20,13,12.033006130988152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.44699999999999995, 'e': 0.0659706981778719}",25,16,2.4019197263259358,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.44599999999999995, 'e': 0.0626721632689783}",20,4,25.188665135988245,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.44499999999999995, 'e': 0.059538555105529384}",20,12,2.085332173637246,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.44399999999999995, 'e': 0.05656162735025291}",20,12,13.498422506706557,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.44299999999999995, 'e': 0.053733545982740265}",20,3,14.510081503482741,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.44199999999999995, 'e': 0.05104686868360325}",25,0,-17.19086523369616,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.44099999999999995, 'e': 0.04849452524942309}",25,15,18.931079741941538,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.43999999999999995, 'e': 0.04606979898695193}",20,8,21.50377811553503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.43899999999999995, 'e': 0.04376630903760433}",30,21,15.83092470697303,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.43799999999999994, 'e': 0.041577993585724116}",20,3,21.94948456768141,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.43699999999999994, 'e': 0.03949909390643791}",25,17,15.123117651048439,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.43599999999999994, 'e': 0.03752413921111601}",20,11,17.086390820063325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.43499999999999994, 'e': 0.03564793225056021}",30,20,19.654453070335645,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.43399999999999994, 'e': 0.0338655356380322}",25,12,25.32265613493446,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.43299999999999994, 'e': 0.032172258856130585}",35,11,39.4412031763299,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
