trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.3929999999999999, 'e': 0.0041345263671720795}",30,2,34.685166762891285,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.3919999999999999, 'e': 0.003927800048813475}",20,10,16.252713611122715,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.3909999999999999, 'e': 0.0037314100463728015}",20,8,17.98350119161623,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.3899999999999999, 'e': 0.0035448395440541612}",25,8,27.160864097464458,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.3889999999999999, 'e': 0.003367597566851453}",20,14,11.122752774401647,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.3879999999999999, 'e': 0.00319921768850888}",20,14,11.23068256091584,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.3869999999999999, 'e': 0.003039256804083436}",20,6,22.792872908547313,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.3859999999999999, 'e': 0.0028872939638792637}",20,3,24.594065705607818,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.3849999999999999, 'e': 0.0027429292656853004}",30,19,18.725905579876358,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.3839999999999999, 'e': 0.0026057828024010354}",25,8,30.16337084903848,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.3829999999999999, 'e': 0.0024754936622809836}",20,12,13.482299075286537,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.3819999999999999, 'e': 0.002351718979166934}",20,12,14.128579341085171,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.3809999999999999, 'e': 0.0022341330302085875}",25,13,22.235373761220842,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.3799999999999999, 'e': 0.002122426378698158}",20,1,26.148575756589953,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3789999999999999, 'e': 0.0020163050597632503}",20,16,8.412457248849845,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.3779999999999999, 'e': 0.0019154898067750877}",20,0,26.470960973697533,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.3769999999999999, 'e': 0.0018197153164363333}",20,8,26.166148756379926,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.3759999999999999, 'e': 0.0017287295506145165}",25,10,25.819502780816784,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.3749999999999999, 'e': 0.0016422930730837905}",20,15,13.47816610365008,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.3739999999999999, 'e': 0.0015601784194296008}",20,12,15.717773780156634,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.3729999999999999, 'e': 0.0014821694984581207}",20,10,17.472028476515277,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3719999999999999, 'e': 0.0014080610235352145}",20,0,28.60416833064037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.3709999999999999, 'e': 0.0013376579723584536}",20,2,25.685355919290703,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.3699999999999999, 'e': 0.0012707750737405309}",25,8,28.530377297990626,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3689999999999999, 'e': 0.0012072363200535043}",25,17,16.34076241078904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.3679999999999999, 'e': 0.001146874504050829}",20,7,21.548668197436257,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.3669999999999999, 'e': 0.0010895307788482875}",20,5,24.72809891404783,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.3659999999999999, 'e': 0.001035054239905873}",20,14,11.228338919466182,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.3649999999999999, 'e': 0.0009833015279105794}",25,7,28.375003296082735,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3639999999999999, 'e': 0.0009341364515150504}",25,12,16.826990171151635,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.3629999999999999, 'e': 0.0008874296289392978}",30,16,-18.707778270100036,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.3619999999999999, 'e': 0.0008430581474923328}",25,16,16.405173155799513,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.3609999999999999, 'e': 0.0008009052401177162}",30,12,30.726832402826112,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.3599999999999999, 'e': 0.0007608599781118304}",20,16,5.067102785530361,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.3589999999999999, 'e': 0.0007228169792062388}",25,16,19.32505155329961,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
